Samples - X-Axis	Acceleration (g) - X-Axis	Samples - Y-Axis	Acceleration (g) - Y-Axis	Samples - Z-Axis	Acceleration (g) - Z-Axis
0	-0,101562	0	0,0664062	0	0,980469
1	-0,140625	1	0,0546875	1	0,992187
2	-0,179687	2	0,0390625	2	1,00781
3	-0,183594	3	0,0117187	3	1,01953
4	-0,160156	4	0,015625	4	1,02344
5	-0,132812	5	0,03125	5	1,02734
6	-0,0820312	6	0,0546875	6	1,01172
7	-0,0273437	7	0,0742187	7	0,992187
8	0,0195312	8	0,0703125	8	0,976562
9	0,0273437	9	0,0859375	9	0,96875
10	-0,0078125	10	0,0898437	10	0,953125
11	-0,0429687	11	0,09375	11	0,960937
12	-0,0820312	12	0,078125	12	0,972656
13	-0,125	13	0,0585937	13	1
14	-0,15625	14	0,046875	14	1,01563
15	-0,179687	15	0,03125	15	1,03125
16	-0,15625	16	0,0195312	16	1,03516
17	-0,128906	17	0,0273437	17	1,03125
18	-0,0859375	18	0,0390625	18	1,01563
19	-0,0429687	19	0,0742187	19	0,996094
20	0,0078125	20	0,0664062	20	0,980469
21	0,0273437	21	0,0859375	21	0,972656
22	0,0273437	22	0,0859375	22	0,972656
23	0,015625	23	0,0820312	23	0,960937
24	-0,0273437	24	0,0859375	24	0,96875
25	-0,0742187	25	0,078125	25	0,980469
26	-0,113281	26	0,0664062	26	0,992187
27	-0,15625	27	0,0546875	27	1,00391
28	-0,191406	28	0,0390625	28	1,01172
29	-0,191406	29	0,0234375	29	1,01953
30	-0,160156	30	0,0078125	30	1,02344
31	-0,121094	31	0,03125	31	1,01172
32	-0,0664062	32	0,0546875	32	0,996094
33	-0,0117187	33	0,078125	33	0,976562
34	0,0429687	34	0,0859375	34	0,964844
35	0,0429687	35	0,0859375	35	0,964844
36	0,0507812	36	0,09375	36	0,960937
37	0,0273437	37	0,0976562	37	0,960937
38	-0,0234375	38	0,101562	38	0,976562
39	-0,0664062	39	0,0820312	39	0,988281
40	-0,125	40	0,0664062	40	0,996094
41	-0,183594	41	0,0546875	41	1,00391
42	-0,207031	42	0,0234375	42	1,01172
43	-0,195312	43	0,0078125	43	1,01953
44	-0,175781	44	0,0117187	44	1,01172
45	-0,132812	45	0,0351562	45	0,992187
46	-0,0625	46	0,0585937	46	0,972656
47	0,0078125	47	0,0703125	47	0,960937
48	0,0507812	48	0,0898437	48	0,957031
49	0,0429687	49	0,101562	49	0,953125
50	0,0234375	50	0,101562	50	0,960937
51	0,0234375	51	0,101562	51	0,960937
52	-0,0742187	52	0,0703125	52	0,996094
53	-0,0742187	53	0,0703125	53	0,996094
54	-0,144531	54	0,0625	54	1,00391
55	-0,179687	55	0,0429687	55	1,01172
56	-0,195312	56	0,015625	56	1,01563
57	-0,191406	57	0	57	1,01953
58	-0,15625	58	0,015625	58	1,00391
59	-0,0390625	59	0,0742187	59	0,984375
60	-0,0390625	60	0,0742187	60	0,984375
61	0,0390625	61	0,09375	61	0,964844
62	0,0390625	62	0,09375	62	0,964844
63	0,0234375	63	0,09375	63	0,96875
64	-0,0234375	64	0,09375	64	0,980469
65	-0,0664062	65	0,0859375	65	1
