Samples - X-Axis	Acceleration (g) - X-Axis	Samples - Y-Axis	Acceleration (g) - Y-Axis	Samples - Z-Axis	Acceleration (g) - Z-Axis
0	-0,0703125	0	0,0625	0	0,980469
1	-0,0703125	1	0,0703125	1	0,984375
2	-0,0703125	2	0,0703125	2	0,984375
3	-0,0625	3	0,0546875	3	0,992187
4	-0,0703125	4	0,0625	4	1
5	-0,078125	5	0,0664062	5	1,00391
6	-0,0742187	6	0,0546875	6	1,00781
7	-0,0820312	7	0,0546875	7	1,00391
8	-0,0859375	8	0,0703125	8	1
9	-0,0742187	9	0,0625	9	1
10	-0,078125	10	0,0546875	10	0,996094
11	-0,0859375	11	0,0664062	11	0,992187
12	-0,0742187	12	0,0625	12	0,992187
13	-0,078125	13	0,0625	13	0,992187
14	-0,0742187	14	0,0703125	14	1
15	-0,078125	15	0,0664062	15	1,00391
16	-0,078125	16	0,0625	16	1
17	-0,0820312	17	0,0664062	17	1
18	-0,0742187	18	0,0585937	18	0,996094
19	-0,078125	19	0,0585937	19	0,984375
20	-0,0898437	20	0,0664062	20	0,984375
21	-0,078125	21	0,0625	21	0,972656
22	-0,0820312	22	0,0546875	22	0,96875
23	-0,0859375	23	0,0546875	23	0,96875
24	-0,0898437	24	0,0585937	24	0,976562
25	-0,0898437	25	0,0585937	25	0,976562
26	-0,0820312	26	0,0546875	26	0,984375
27	-0,0859375	27	0,0664062	27	0,988281
28	-0,0820312	28	0,0625	28	0,992187
29	-0,0703125	29	0,0546875	29	1
30	-0,0820312	30	0,0546875	30	0,996094
31	-0,0703125	31	0,0585937	31	1
32	-0,0703125	32	0,0546875	32	0,988281
33	-0,078125	33	0,0664062	33	0,988281
34	-0,0703125	34	0,0585937	34	0,984375
35	-0,0664062	35	0,0507812	35	0,992187
36	-0,078125	36	0,0546875	36	0,992187
37	-0,0742187	37	0,0625	37	0,992187
38	-0,078125	38	0,0507812	38	1,00391
39	-0,0820312	39	0,0625	39	1,00781
40	-0,078125	40	0,0625	40	1,00391
41	-0,0742187	41	0,0585937	41	1,00781
42	-0,078125	42	0,0585937	42	1
43	-0,0742187	43	0,0625	43	0,996094
44	-0,0742187	44	0,0625	44	0,996094
45	-0,0820312	45	0,0625	45	0,988281
46	-0,078125	46	0,0664062	46	0,996094
47	-0,078125	47	0,0546875	47	1,00391
48	-0,0898437	48	0,0625	48	0,996094
49	-0,0859375	49	0,0664062	49	1
50	-0,078125	50	0,0585937	50	1
51	-0,0820312	51	0,0703125	51	1
52	-0,0859375	52	0,0703125	52	0,992187
53	-0,0820312	53	0,0507812	53	0,984375
54	-0,0859375	54	0,0585937	54	0,976562
55	-0,09375	55	0,0585937	55	0,980469
56	-0,078125	56	0,0546875	56	0,976562
57	-0,078125	57	0,0546875	57	0,976562
58	-0,0898437	58	0,0585937	58	0,980469
59	-0,078125	59	0,0507812	59	0,984375
60	-0,078125	60	0,0507812	60	0,984375
61	-0,0898437	61	0,046875	61	0,984375
62	-0,0898437	62	0,0585937	62	0,992187
63	-0,0820312	63	0,0546875	63	0,996094
64	-0,078125	64	0,0507812	64	0,992187
65	-0,0742187	65	0,0664062	65	0,992187
66	-0,0664062	66	0,0585937	66	0,984375
67	-0,0703125	67	0,0585937	67	0,984375
68	-0,0742187	68	0,0625	68	0,988281
69	-0,0625	69	0,0546875	69	0,996094
70	-0,0742187	70	0,0585937	70	0,992187
71	-0,078125	71	0,0703125	71	0,996094
72	-0,0820312	72	0,0546875	72	0,996094
73	-0,0820312	73	0,0546875	73	0,996094
74	-0,0820312	74	0,0625	74	1,00781
75	-0,0820312	75	0,0625	75	1,00391
76	-0,078125	76	0,0664062	76	1
77	-0,0742187	77	0,0585937	77	0,996094
78	-0,0898437	78	0,0585937	78	0,996094
79	-0,0859375	79	0,0625	79	0,996094
80	-0,0742187	80	0,0585937	80	0,996094
81	-0,0859375	81	0,0664062	81	1
82	-0,078125	82	0,0703125	82	1
83	-0,078125	83	0,0546875	83	0,996094
84	-0,0820312	84	0,0585937	84	0,988281
85	-0,0820312	85	0,0664062	85	0,988281
86	-0,078125	86	0,0585937	86	0,980469
87	-0,078125	87	0,0625	87	0,972656
88	-0,078125	88	0,0664062	88	0,980469
89	-0,0742187	89	0,0546875	89	0,976562
90	-0,0898437	90	0,0507812	90	0,980469
91	-0,0898437	91	0,0507812	91	0,980469
92	-0,0976562	92	0,0585937	92	0,984375
93	-0,0859375	93	0,0507812	93	0,988281
94	-0,0859375	94	0,0546875	94	0,996094
95	-0,0820312	95	0,0585937	95	0,996094
96	-0,0703125	96	0,0507812	96	0,996094
97	-0,078125	97	0,0546875	97	0,992187
98	-0,078125	98	0,0664062	98	0,988281
99	-0,0664062	99	0,0546875	99	0,988281
100	-0,0625	100	0,0546875	100	0,992187
101	-0,0703125	101	0,0703125	101	0,996094
102	-0,0625	102	0,0585937	102	1
103	-0,0820312	103	0,0625	103	1,00781
104	-0,078125	104	0,0625	104	1,01172
105	-0,0820312	105	0,0585937	105	1,00391
106	-0,0859375	106	0,0664062	106	1,00781
107	-0,0742187	107	0,0625	107	1,00781
108	-0,0859375	108	0,0585937	108	1
109	-0,09375	109	0,0625	109	0,996094
110	-0,0820312	110	0,0585937	110	0,996094
111	-0,0898437	111	0,0585937	111	1
112	-0,0820312	112	0,0664062	112	0,996094
113	-0,0742187	113	0,0585937	113	0,992187
114	-0,078125	114	0,0546875	114	0,996094
115	-0,0820312	115	0,0703125	115	0,992187
