Samples - X-Axis	Acceleration (g) - X-Axis	Samples - Y-Axis	Acceleration (g) - Y-Axis	Samples - Z-Axis	Acceleration (g) - Z-Axis
10029	0,222656	10029	0,0820312	10029	0,957031
10030	0,222656	10030	0,0703125	10030	0,976562
10031	0,226562	10031	0,0546875	10031	0,972656
10032	0,226562	10032	0,046875	10032	0,980469
10033	0,222656	10033	0,0429687	10033	0,976562
10034	0,222656	10034	0,0429687	10034	0,96875
10035	0,207031	10035	0,0429687	10035	0,964844
10036	0,199219	10036	0,046875	10036	0,964844
10037	0,199219	10037	0,0703125	10037	0,960937
10038	0,199219	10038	0,0625	10038	0,953125
10039	0,210937	10039	0,0664062	10039	0,964844
10040	0,222656	10040	0,0742187	10040	0,96875
10041	0,230469	10041	0,0703125	10041	0,976562
10042	0,226562	10042	0,0625	10042	0,992187
10043	0,226562	10043	0,046875	10043	0,992187
10044	0,226562	10044	0,0390625	10044	0,988281
10045	0,21875	10045	0,0351562	10045	0,984375
10046	0,210937	10046	0,0390625	10046	0,972656
10047	0,203125	10047	0,046875	10047	0,964844
10048	0,191406	10048	0,0625	10048	0,960937
10049	0,195312	10049	0,0625	10049	0,953125
10050	0,207031	10050	0,0625	10050	0,953125
10051	0,214844	10051	0,0664062	10051	0,949219
10052	0,226562	10052	0,0703125	10052	0,953125
10053	0,230469	10053	0,0703125	10053	0,96875
10054	0,226562	10054	0,0585937	10054	0,980469
10055	0,21875	10055	0,0390625	10055	0,984375
10056	0,222656	10056	0,0390625	10056	0,984375
10057	0,21875	10057	0,0390625	10057	0,984375
10058	0,21875	10058	0,0390625	10058	0,984375
10059	0,207031	10059	0,0429687	10059	0,980469
10060	0,195312	10060	0,0507812	10060	0,980469
10061	0,1875	10061	0,0625	10061	0,972656
10062	0,199219	10062	0,0585937	10062	0,964844
10063	0,214844	10063	0,0703125	10063	0,964844
10064	0,21875	10064	0,0742187	10064	0,957031
10065	0,226562	10065	0,0703125	10065	0,964844
10066	0,226562	10066	0,0664062	10066	0,964844
10067	0,226562	10067	0,0546875	10067	0,96875
10068	0,230469	10068	0,0429687	10068	0,964844
10069	0,21875	10069	0,0390625	10069	0,960937
10070	0,214844	10070	0,046875	10070	0,953125
10071	0,203125	10071	0,0507812	10071	0,957031
10072	0,199219	10072	0,0546875	10072	0,953125
10073	0,203125	10073	0,0585937	10073	0,949219
10074	0,203125	10074	0,0664062	10074	0,953125
10075	0,214844	10075	0,0742187	10075	0,964844
10076	0,226562	10076	0,0820312	10076	0,972656
10077	0,234375	10077	0,0742187	10077	0,980469
10078	0,234375	10078	0,0664062	10078	0,988281
10079	0,226562	10079	0,0507812	10079	0,992187
10080	0,222656	10080	0,046875	10080	0,988281
10081	0,214844	10081	0,0507812	10081	0,976562
10082	0,203125	10082	0,046875	10082	0,960937
10083	0,191406	10083	0,0429687	10083	0,964844
10084	0,1875	10084	0,0546875	10084	0,949219
10085	0,1875	10085	0,0546875	10085	0,949219
10086	0,195312	10086	0,0664062	10086	0,945312
10087	0,199219	10087	0,0742187	10087	0,949219
10088	0,222656	10088	0,0742187	10088	0,964844
10089	0,230469	10089	0,0664062	10089	0,984375
10090	0,226562	10090	0,0546875	10090	0,996094
10091	0,234375	10091	0,046875	10091	1
10092	0,230469	10092	0,0429687	10092	0,996094
10093	0,222656	10093	0,0429687	10093	0,980469
10094	0,203125	10094	0,0390625	10094	0,976562
10095	0,199219	10095	0,046875	10095	0,976562
10096	0,195312	10096	0,0507812	10096	0,964844
10097	0,199219	10097	0,0585937	10097	0,953125
10098	0,210937	10098	0,0625	10098	0,957031
10099	0,21875	10099	0,0742187	10099	0,949219
10100	0,21875	10100	0,0742187	10100	0,949219
10101	0,230469	10101	0,0742187	10101	0,957031
10102	0,230469	10102	0,0625	10102	0,964844
10103	0,230469	10103	0,0546875	10103	0,964844
10104	0,230469	10104	0,0429687	10104	0,980469
10105	0,222656	10105	0,0390625	10105	0,976562
10106	0,214844	10106	0,0390625	10106	0,976562
10107	0,203125	10107	0,0429687	10107	0,96875
10108	0,199219	10108	0,046875	10108	0,972656
10109	0,1875	10109	0,0546875	10109	0,964844
10110	0,191406	10110	0,0664062	10110	0,960937
10111	0,203125	10111	0,0664062	10111	0,960937
10112	0,214844	10112	0,0664062	10112	0,953125
10113	0,230469	10113	0,0703125	10113	0,964844
10114	0,234375	10114	0,0507812	10114	0,972656
10115	0,222656	10115	0,046875	10115	0,964844
10116	0,21875	10116	0,0429687	10116	0,96875
10117	0,21875	10117	0,0390625	10117	0,957031
10118	0,207031	10118	0,0429687	10118	0,957031
10119	0,191406	10119	0,0585937	10119	0,957031
10120	0,195312	10120	0,0625	10120	0,953125
10121	0,199219	10121	0,0664062	10121	0,949219
10122	0,210937	10122	0,078125	10122	0,957031
10123	0,21875	10123	0,078125	10123	0,964844
10124	0,226562	10124	0,0703125	10124	0,972656
10125	0,226562	10125	0,0703125	10125	0,972656
10126	0,234375	10126	0,0625	10126	0,980469
10127	0,222656	10127	0,0507812	10127	0,988281
10128	0,214844	10128	0,046875	10128	0,984375
