Samples - X-Axis	Acceleration (g) - X-Axis	Samples - Y-Axis	Acceleration (g) - Y-Axis	Samples - Z-Axis	Acceleration (g) - Z-Axis
10064	0,210937	10064	0,0585937	10064	0,984375
10065	0,210937	10065	0,0585937	10065	0,984375
10066	0,214844	10066	0,0507812	10066	0,980469
10067	0,210937	10067	0,0585937	10067	0,976562
10068	0,210937	10068	0,0585937	10068	0,96875
10069	0,210937	10069	0,0585937	10069	0,964844
10070	0,210937	10070	0,0546875	10070	0,964844
10071	0,214844	10071	0,0546875	10071	0,957031
10072	0,214844	10072	0,0585937	10072	0,957031
10073	0,222656	10073	0,0625	10073	0,964844
10074	0,222656	10074	0,0585937	10074	0,964844
10075	0,21875	10075	0,0585937	10075	0,96875
10076	0,222656	10076	0,0625	10076	0,964844
10077	0,222656	10077	0,0625	10077	0,960937
10078	0,222656	10078	0,0625	10078	0,960937
10079	0,214844	10079	0,0664062	10079	0,960937
10080	0,210937	10080	0,0625	10080	0,960937
10081	0,210937	10081	0,0625	10081	0,960937
10082	0,214844	10082	0,0585937	10082	0,960937
10083	0,21875	10083	0,0585937	10083	0,957031
10084	0,21875	10084	0,0507812	10084	0,964844
10085	0,214844	10085	0,0507812	10085	0,976562
10086	0,21875	10086	0,0507812	10086	0,976562
10087	0,214844	10087	0,0546875	10087	0,984375
10088	0,21875	10088	0,0546875	10088	0,992187
10089	0,21875	10089	0,0585937	10089	0,984375
10090	0,21875	10090	0,0546875	10090	0,984375
10091	0,214844	10091	0,0546875	10091	0,984375
10092	0,214844	10092	0,0507812	10092	0,984375
10093	0,207031	10093	0,0507812	10093	0,980469
10094	0,210937	10094	0,046875	10094	0,96875
10095	0,214844	10095	0,0507812	10095	0,972656
10096	0,21875	10096	0,0507812	10096	0,964844
10097	0,21875	10097	0,0507812	10097	0,960937
10098	0,21875	10098	0,0546875	10098	0,953125
10099	0,214844	10099	0,0546875	10099	0,953125
10100	0,21875	10100	0,0546875	10100	0,957031
10101	0,222656	10101	0,0625	10101	0,953125
10102	0,21875	10102	0,0664062	10102	0,960937
10103	0,21875	10103	0,0585937	10103	0,957031
10104	0,214844	10104	0,0546875	10104	0,964844
10105	0,207031	10105	0,0546875	10105	0,960937
10106	0,214844	10106	0,0546875	10106	0,957031
10107	0,214844	10107	0,0546875	10107	0,964844
10108	0,214844	10108	0,0585937	10108	0,960937
10109	0,214844	10109	0,0585937	10109	0,960937
10110	0,214844	10110	0,0585937	10110	0,96875
10111	0,21875	10111	0,0585937	10111	0,972656
10112	0,21875	10112	0,0625	10112	0,976562
10113	0,21875	10113	0,0625	10113	0,976562
10114	0,21875	10114	0,0625	10114	0,980469
10115	0,214844	10115	0,0625	10115	0,988281
10116	0,214844	10116	0,0664062	10116	0,984375
10117	0,214844	10117	0,0625	10117	0,980469
10118	0,210937	10118	0,0625	10118	0,984375
10119	0,210937	10119	0,0546875	10119	0,976562
10120	0,214844	10120	0,0585937	10120	0,96875
10121	0,214844	10121	0,0585937	10121	0,960937
10122	0,214844	10122	0,0585937	10122	0,960937
10123	0,214844	10123	0,0585937	10123	0,957031
10124	0,214844	10124	0,0625	10124	0,953125
10125	0,21875	10125	0,0546875	10125	0,957031
10126	0,222656	10126	0,0625	10126	0,964844
10127	0,222656	10127	0,0625	10127	0,964844
10128	0,222656	10128	0,0625	10128	0,960937
10129	0,214844	10129	0,0664062	10129	0,976562
10130	0,207031	10130	0,0625	10130	0,96875
10131	0,210937	10131	0,0625	10131	0,964844
10132	0,210937	10132	0,0625	10132	0,964844
10133	0,214844	10133	0,0664062	10133	0,960937
10134	0,210937	10134	0,0625	10134	0,957031
10135	0,210937	10135	0,0664062	10135	0,960937
10136	0,207031	10136	0,0546875	10136	0,964844
10137	0,210937	10137	0,0507812	10137	0,972656
10138	0,222656	10138	0,046875	10138	0,980469
10139	0,230469	10139	0,0546875	10139	0,988281
10140	0,226562	10140	0,0585937	10140	0,992187
10141	0,226562	10141	0,0585937	10141	0,992187
10142	0,214844	10142	0,0507812	10142	0,988281
10143	0,210937	10143	0,0546875	10143	0,976562
10144	0,207031	10144	0,0546875	10144	0,976562
10145	0,203125	10145	0,0546875	10145	0,964844
10146	0,203125	10146	0,0546875	10146	0,964844
10147	0,203125	10147	0,0546875	10147	0,964844
10148	0,214844	10148	0,046875	10148	0,953125
10149	0,222656	10149	0,0546875	10149	0,960937
10150	0,21875	10150	0,0585937	10150	0,957031
10151	0,21875	10151	0,0625	10151	0,964844
10152	0,226562	10152	0,0546875	10152	0,960937
10153	0,222656	10153	0,0546875	10153	0,964844
10154	0,222656	10154	0,0585937	10154	0,964844
10155	0,21875	10155	0,0664062	10155	0,972656
10156	0,210937	10156	0,0664062	10156	0,972656
10157	0,203125	10157	0,0585937	10157	0,960937
10158	0,199219	10158	0,0507812	10158	0,960937
10159	0,203125	10159	0,0546875	10159	0,957031
10160	0,203125	10160	0,0546875	10160	0,957031
10161	0,210937	10161	0,0585937	10161	0,964844
10162	0,21875	10162	0,0585937	10162	0,96875
10163	0,21875	10163	0,0507812	10163	0,976562
